Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Timothy Flax",hard,37,Completed,"Bullshit","Item Flash drive with fake info","1","12:38:13","12:42:11",
Bot1,"Timothy Flax",hard,37,Active,"Bullshit","Zone Q019_3","1","12:42:16","N/A",
Bot3,"Ефрем Усилов",hard,54,Failed,"Big Red","Big Red: Objective #2","1","12:38:13","12:38:28",
Bot2,"Robby Marbury",hard,24,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","12:38:13","12:39:00",
Bot5,"Пётр Пахомов",hard,55,Pending,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","12:38:13","N/A",
Bot7,"Seth Cantor",hard,1,Active,"Crackhouse Area Sniping","Crackhouse Area Sniping: Objective #1","1","12:38:13","N/A",
Bot4,"Давид Колесников",hard,28,Pending,"Farming - Part 3","Zone place_SADOVOD_03","1","12:38:13","N/A",
Bot6,"Борис Твардовский",hard,38,Completed,"Big Red","Big Red: Objective #2","1","12:38:13","12:40:38",
Bot6,"Борис Твардовский",hard,38,Completed,"Big Red","Big Red: Objective #3","1","12:40:43","12:41:02",
Bot6,"Борис Твардовский",hard,38,Failed,"Big Red","Big Red: Objective #5","1","12:41:07","12:41:18",
Bot6,"Борис Твардовский",hard,38,Completed,"Big Red","Big Red: Objective #4","1","12:41:24","12:41:31",
Bot6,"Борис Твардовский",hard,38,Completed,"Big Red","Big Red: Objective #1","1","12:41:36","12:41:49",
Bot6,"Борис Твардовский",hard,38,Active,"Storage","Storage: Objective #2","1","12:41:54","N/A",
