Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Lyndon Oglesby",normal,28,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","11:41:41","11:41:56",
Bot5,"Jess Borkholder",normal,7,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","11:41:41","11:45:54",
Bot3,"Jesus Greenfield",normal,64,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","11:41:41","11:45:55",
Bot6,"Dusty Duplantis",normal,44,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","11:41:41","11:45:24",
Bot2,"Shad Cassette",normal,35,Failed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","11:41:41","11:41:49",
Bot4,"Adalberto Snipes",normal,50,Failed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","11:41:41","11:44:41",
Bot7,"Isaiah Kettle",normal,37,Active,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","11:41:41","N/A",
Bot23,"Ефрем Сергеев",normal,39,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","11:44:47","11:46:44",
Bot33,"Филя Рыхлый (Dan)",normal,1,Pending,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","11:46:52","N/A",
Bot32,"Вано Фотошоп (Bennett)",normal,1,Failed,"Gate 3 Camping","Gate 3 Camping: Objective #1","2","11:46:52","11:48:31",
Bot37,"Нестор Добрынин",normal,38,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","11:48:12","11:49:17",
Bot47,"Кирилл Должиков",normal,64,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","11:51:27","11:51:31",
